benzene
12
Atom 	 Type 	 Charge 	 Eps(kcal/mol) 	 Sig(Angstrom) 	 X 	 Y 	 Z
C1 	 ca 	 -0.130000 	 0.086000 	 3.399670 	 -1.213000 	 -0.688000 	 0.000000
C2 	 ca 	 -0.130000 	 0.086000 	 3.399670 	 -1.203000 	 0.706000 	 0.000000
C3 	 ca 	 -0.130000 	 0.086000 	 3.399670 	 -0.010000 	 -1.395000 	 0.000000
C4 	 ca 	 -0.130000 	 0.086000 	 3.399670 	 0.010000 	 1.395000 	 -0.000000
C5 	 ca 	 -0.130000 	 0.086000 	 3.399670 	 1.203000 	 -0.706000 	 0.000000
C6 	 ca 	 -0.130000 	 0.086000 	 3.399670 	 1.213000 	 0.688000 	 0.000000
H1 	 ha 	 0.130000 	 0.015000 	 2.599642 	 -2.158000 	 -1.224000 	 0.000000
H2 	 ha 	 0.130000 	 0.015000 	 2.599642 	 -2.139000 	 1.256000 	 0.000000
H3 	 ha 	 0.130000 	 0.015000 	 2.599642 	 -0.018000 	 -2.481000 	 -0.000000
H4 	 ha 	 0.130000 	 0.015000 	 2.599642 	 0.018000 	 2.481000 	 0.000000
H5 	 ha 	 0.130000 	 0.015000 	 2.599642 	 2.139000 	 -1.256000 	 0.000000
H6 	 ha 	 0.130000 	 0.015000 	 2.599642 	 2.158000 	 1.224000 	 0.000000
