AFP
34
Atom 	 Type 	 Charge 	 Eps(kcal/mol) 	 Sig(Angstrom) 	 X 	 Y 	 Z
P1 	 p5 	 1.662500 	 0.200000 	 3.741775 	 -4.149000 	 1.223000 	 -0.113000
P2 	 p5 	 1.637500 	 0.200000 	 3.741775 	 4.158000 	 1.367000 	 0.111000
O1 	 os 	 -0.432600 	 0.170000 	 3.000012 	 0.415000 	 -0.542000 	 0.996000
O2 	 oh 	 -0.636800 	 0.210400 	 3.066473 	 -1.498000 	 -1.829000 	 1.444000
O3 	 oh 	 -0.596800 	 0.210400 	 3.066473 	 -0.565000 	 -0.627000 	 -1.861000
O4 	 oh 	 -0.589800 	 0.210400 	 3.066473 	 0.358000 	 -3.548000 	 0.004000
O5 	 os 	 -0.592200 	 0.170000 	 3.000012 	 -3.045000 	 0.046000 	 0.021000
O6 	 os 	 -0.546200 	 0.170000 	 3.000012 	 3.034000 	 0.313000 	 0.607000
O7 	 oh 	 -0.779900 	 0.210400 	 3.066473 	 -3.396000 	 2.358000 	 -0.985000
O8 	 oh 	 -0.779900 	 0.210400 	 3.066473 	 -4.182000 	 1.858000 	 1.374000
O9 	 oh 	 -0.773900 	 0.210400 	 3.066473 	 3.400000 	 2.228000 	 -1.029000
O10 	 oh 	 -0.773900 	 0.210400 	 3.066473 	 5.174000 	 0.438000 	 -0.738000
O11 	 o 	 -0.786300 	 0.210000 	 2.959922 	 -5.482000 	 0.784000 	 -0.645000
O12 	 o 	 -0.814300 	 0.210000 	 2.959922 	 4.798000 	 2.172000 	 1.203000
C1 	 c3 	 0.292600 	 0.109400 	 3.399670 	 -0.907000 	 -0.884000 	 0.548000
C2 	 c3 	 0.080100 	 0.109400 	 3.399670 	 -0.716000 	 -1.568000 	 -0.807000
C3 	 c3 	 0.114100 	 0.109400 	 3.399670 	 0.606000 	 -2.291000 	 -0.621000
C4 	 c3 	 0.137100 	 0.109400 	 3.399670 	 1.378000 	 -1.389000 	 0.340000
C5 	 c3 	 0.184400 	 0.109400 	 3.399670 	 -1.760000 	 0.378000 	 0.515000
C6 	 c3 	 0.160400 	 0.109400 	 3.399670 	 2.381000 	 -0.487000 	 -0.364000
H1 	 h1 	 0.076700 	 0.015700 	 2.471353 	 -1.546000 	 -2.240000 	 -1.052000
H2 	 h1 	 0.079700 	 0.015700 	 2.471353 	 1.154000 	 -2.479000 	 -1.550000
H3 	 h1 	 0.111700 	 0.015700 	 2.471353 	 1.882000 	 -1.964000 	 1.125000
H4 	 h1 	 0.079200 	 0.015700 	 2.471353 	 -1.296000 	 1.154000 	 -0.103000
H5 	 h1 	 0.079200 	 0.015700 	 2.471353 	 -1.859000 	 0.779000 	 1.530000
H6 	 h1 	 0.066700 	 0.015700 	 2.471353 	 1.875000 	 0.174000 	 -1.073000
H7 	 h1 	 0.066700 	 0.015700 	 2.471353 	 3.120000 	 -1.090000 	 -0.900000
H8 	 ho 	 0.442000 	 0.000000 	 1.060000 	 -1.206000 	 -2.723000 	 1.203000
H9 	 ho 	 0.440000 	 0.000000 	 1.060000 	 -0.403000 	 -1.127000 	 -2.679000
H10 	 ho 	 0.418000 	 0.000000 	 1.060000 	 -0.160000 	 -4.085000 	 -0.619000
H11 	 ho 	 0.498000 	 0.000000 	 1.060000 	 -3.897000 	 3.155000 	 -1.260000
H12 	 ho 	 0.498000 	 0.000000 	 1.060000 	 -4.851000 	 2.544000 	 1.582000
H13 	 ho 	 0.487500 	 0.000000 	 1.060000 	 3.866000 	 2.987000 	 -1.439000
H14 	 ho 	 0.487500 	 0.000000 	 1.060000 	 6.006000 	 0.832000 	 -1.077000
