ATP
47
Atom 	 Type 	 Charge 	 Eps(kcal/mol) 	 Sig(Angstrom) 	 X 	 Y 	 Z
P1 	 p5 	 1.822500 	 0.200000 	 3.741775 	 2.426000 	 -1.686000 	 -1.603000
P2 	 p5 	 1.967500 	 0.200000 	 3.741775 	 3.969000 	 0.204000 	 0.045000
P3 	 p5 	 1.817500 	 0.200000 	 3.741775 	 2.275000 	 1.303000 	 2.196000
O1 	 os 	 -0.409600 	 0.170000 	 3.000012 	 -1.018000 	 -1.378000 	 0.993000
O2 	 oh 	 -0.583800 	 0.210400 	 3.066473 	 -4.365000 	 -2.364000 	 0.131000
O3 	 oh 	 -0.593800 	 0.210400 	 3.066473 	 -2.576000 	 -3.967000 	 1.401000
O4 	 os 	 -0.576200 	 0.170000 	 3.000012 	 1.321000 	 -1.959000 	 -0.454000
O5 	 os 	 -0.804800 	 0.170000 	 3.000012 	 3.722000 	 -1.149000 	 -0.801000
O6 	 oh 	 -0.796400 	 0.210400 	 3.066473 	 2.877000 	 -3.162000 	 -2.087000
O7 	 o 	 -0.842300 	 0.210000 	 2.959922 	 1.972000 	 -0.782000 	 -2.712000
O8 	 os 	 -0.814800 	 0.170000 	 3.000012 	 2.756000 	 0.205000 	 1.112000
O9 	 oh 	 -0.804400 	 0.210400 	 3.066473 	 3.565000 	 1.383000 	 -0.985000
O10 	 o 	 -0.858300 	 0.210000 	 2.959922 	 5.334000 	 0.338000 	 0.652000
O11 	 oh 	 -0.788900 	 0.210400 	 3.066473 	 1.778000 	 2.534000 	 1.274000
O12 	 oh 	 -0.788900 	 0.210400 	 3.066473 	 0.898000 	 0.686000 	 2.775000
O13 	 o 	 -0.819300 	 0.210000 	 2.959922 	 3.305000 	 1.655000 	 3.228000
N1 	 na 	 -0.292000 	 0.170000 	 3.249999 	 -2.639000 	 0.283000 	 0.499000
N2 	 nc 	 -0.534100 	 0.170000 	 3.249999 	 -3.601000 	 2.292000 	 0.362000
N3 	 nb 	 -0.771000 	 0.170000 	 3.249999 	 -0.707000 	 0.651000 	 -0.928000
N4 	 nb 	 -0.793000 	 0.170000 	 3.249999 	 -0.682000 	 2.922000 	 -1.820000
N5 	 nh 	 -0.957500 	 0.170000 	 3.249999 	 -2.384000 	 4.524000 	 -1.305000
C1 	 c3 	 0.077100 	 0.109400 	 3.399670 	 -2.990000 	 -2.124000 	 -0.086000
C2 	 c3 	 0.085100 	 0.109400 	 3.399670 	 -2.123000 	 -3.334000 	 0.205000
C3 	 c3 	 0.241800 	 0.109400 	 3.399670 	 -2.429000 	 -1.107000 	 0.897000
C4 	 c3 	 0.141100 	 0.109400 	 3.399670 	 -0.760000 	 -2.701000 	 0.469000
C5 	 c3 	 0.146400 	 0.109400 	 3.399670 	 0.084000 	 -2.563000 	 -0.791000
C6 	 ca 	 0.481800 	 0.086000 	 3.399670 	 -1.841000 	 1.032000 	 -0.321000
C7 	 cd 	 0.409700 	 0.086000 	 3.399670 	 -3.683000 	 1.085000 	 0.882000
C8 	 ca 	 -0.244200 	 0.086000 	 3.399670 	 -2.454000 	 2.273000 	 -0.392000
C9 	 ca 	 0.763200 	 0.086000 	 3.399670 	 -1.832000 	 3.238000 	 -1.177000
C10 	 ca 	 0.703900 	 0.086000 	 3.399670 	 -0.198000 	 1.667000 	 -1.658000
H1 	 h1 	 0.115700 	 0.015700 	 2.471353 	 -2.850000 	 -1.797000 	 -1.123000
H2 	 h1 	 0.070700 	 0.015700 	 2.471353 	 -2.121000 	 -4.083000 	 -0.592000
H3 	 h2 	 0.087700 	 0.015700 	 2.293173 	 -2.861000 	 -1.213000 	 1.900000
H4 	 h1 	 0.104700 	 0.015700 	 2.471353 	 -0.197000 	 -3.240000 	 1.239000
H5 	 h1 	 0.068700 	 0.015700 	 2.471353 	 -0.411000 	 -1.941000 	 -1.542000
H6 	 h1 	 0.068700 	 0.015700 	 2.471353 	 0.277000 	 -3.548000 	 -1.227000
H7 	 ho 	 0.419000 	 0.000000 	 1.060000 	 -4.494000 	 -2.576000 	 1.071000
H8 	 ho 	 0.423000 	 0.000000 	 1.060000 	 -3.431000 	 -4.385000 	 1.201000
H9 	 h5 	 0.073800 	 0.015000 	 2.421463 	 -4.469000 	 0.735000 	 1.537000
H10 	 h5 	 0.094100 	 0.015000 	 2.421463 	 0.726000 	 1.458000 	 -2.184000
H11 	 hn 	 0.447300 	 0.015700 	 1.069078 	 -3.242000 	 4.762000 	 -0.826000
H12 	 hn 	 0.447300 	 0.015700 	 1.069078 	 -1.913000 	 5.208000 	 -1.882000
H13 	 ho 	 0.491000 	 0.000000 	 1.060000 	 2.313000 	 -3.644000 	 -2.729000
H14 	 ho 	 0.493000 	 0.000000 	 1.060000 	 4.202000 	 1.640000 	 -1.686000
H15 	 ho 	 0.505500 	 0.000000 	 1.060000 	 1.515000 	 3.375000 	 1.705000
H16 	 ho 	 0.505500 	 0.000000 	 1.060000 	 0.446000 	 1.145000 	 3.515000
