nitrobenzene
14
Atom 	 Type 	 Charge 	 Eps(kcal/mol) 	 Sig(Angstrom) 	 X 	 Y 	 Z
O1 	 o 	 -0.209000 	 0.210000 	 2.959922 	 2.349000 	 1.098000 	 0.000000
O2 	 o 	 -0.209000 	 0.210000 	 2.959922 	 2.349000 	 -1.098000 	 0.000000
N1 	 no 	 0.312200 	 0.170000 	 3.249999 	 1.742000 	 0.000000 	 -0.000000
C1 	 ca 	 -0.176200 	 0.086000 	 3.399670 	 0.322000 	 0.000000 	 -0.000000
C2 	 ca 	 -0.068000 	 0.086000 	 3.399670 	 -0.376000 	 1.208000 	 0.000000
C3 	 ca 	 -0.068000 	 0.086000 	 3.399670 	 -0.376000 	 -1.208000 	 -0.000000
C4 	 ca 	 -0.140000 	 0.086000 	 3.399670 	 -1.771000 	 1.208000 	 0.000000
C5 	 ca 	 -0.140000 	 0.086000 	 3.399670 	 -1.771000 	 -1.208000 	 0.000000
C6 	 ca 	 -0.088000 	 0.086000 	 3.399670 	 -2.468000 	 0.000000 	 0.000000
H1 	 ha 	 0.171000 	 0.015000 	 2.599642 	 0.134000 	 2.168000 	 -0.000000
H2 	 ha 	 0.171000 	 0.015000 	 2.599642 	 0.134000 	 -2.168000 	 -0.000000
H3 	 ha 	 0.148000 	 0.015000 	 2.599642 	 -2.314000 	 2.148000 	 0.000000
H4 	 ha 	 0.148000 	 0.015000 	 2.599642 	 -2.314000 	 -2.148000 	 0.000000
H5 	 ha 	 0.144000 	 0.015000 	 2.599642 	 -3.554000 	 0.000000 	 0.000000
