butane
14
Atom 	 Type 	 Charge 	 Eps(kcal/mol) 	 Sig(Angstrom) 	 X 	 Y 	 Z
C1 	 c3 	 -0.080400 	 0.109400 	 3.399670 	 -0.563000 	 0.516000 	 0.007000
C2 	 c3 	 -0.080400 	 0.109400 	 3.399670 	 0.563000 	 -0.516000 	 0.007000
C3 	 c3 	 -0.092100 	 0.109400 	 3.399670 	 -1.929000 	 -0.151000 	 -0.007000
C4 	 c3 	 -0.092100 	 0.109400 	 3.399670 	 1.929000 	 0.150000 	 -0.007000
H1 	 hc 	 0.038450 	 0.015700 	 2.649533 	 -0.472000 	 1.167000 	 -0.871000
H2 	 hc 	 0.038450 	 0.015700 	 2.649533 	 -0.482000 	 1.155000 	 0.894000
H3 	 hc 	 0.038450 	 0.015700 	 2.649533 	 0.482000 	 -1.155000 	 0.894000
H4 	 hc 	 0.038450 	 0.015700 	 2.649533 	 0.472000 	 -1.167000 	 -0.871000
H5 	 hc 	 0.032367 	 0.015700 	 2.649533 	 -2.054000 	 -0.771000 	 -0.900000
H6 	 hc 	 0.032367 	 0.015700 	 2.649533 	 -2.065000 	 -0.786000 	 0.874000
H7 	 hc 	 0.032367 	 0.015700 	 2.649533 	 -2.720000 	 0.606000 	 -0.006000
H8 	 hc 	 0.032367 	 0.015700 	 2.649533 	 2.054000 	 0.771000 	 -0.900000
H9 	 hc 	 0.032367 	 0.015700 	 2.649533 	 2.720000 	 -0.606000 	 -0.006000
H10 	 hc 	 0.032367 	 0.015700 	 2.649533 	 2.065000 	 0.785000 	 0.874000
